Artikelnummer 2	Artikelnummer	Bezeichung	Bezeichung 2	Lagerbestand	Gewicht	Preis (inkl. MWSt)	Preis (exkl. MWSt)	WWW-Link	Webtext	Webtext 2	Herstellernummer	Hersteller	MWST Satz	Endkundenpreis	Garantie (Monate)	Erfassungsdatum	Kategorie 1	Kategorie 2	Kategorie 3	Kategorie	EAN-Code	Lieferdatum	Ausverkaufsartikel	Discountpreis
8227	PTZ TZ-232	Brother P-touch Farbband TZ-232, TZ-Band	laminiert,rot auf weiss, 12mm, 8m	0	0.05	19.5	18.12	http://www.brother.ch	Brother P-touch Farbband TZ-232, TZ-Band, laminiert, rot auf weiss, 12 mm, Länge 8 m		TZ232	Brother	7.6	25.65	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052153	unbekannt	Nein	21.75
8229	PTZ TZ-241	Brother P-touch Farbband TZ-241, TZ-Band	laminiert,schwarz auf weiss, 18mm, 8m	20	0.07	22.75	21.14	http://www.brother.ch	Brother P-touch Farbband TZ-241, TZ-Band, laminiert, schwarz auf weiss, 18 mm, Länge 8 m		TZ241	Brother	7.6	29.75	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766051958	sofort	Nein	25.35
8231	PTZ TZ-243	Brother P-touch Farbband TZ-243, TZ-Band	laminiert,blau auf weiss, 18mm, 8m	1	0.07	23.3	21.65	http://www.brother.ch	Brother P-touch Farbband TZ-243, TZ-Band, laminiert, blau auf weiss, 18 mm, Länge 8 m		TZ243	Brother	7.6	30.8	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052016	sofort	Nein	25.9
8232	PTZ TZ-251	Brother P-touch Farbband TZ-251, TZ-Band	laminiert,schwarz auf weiss, 24mm, 8m	25	0.1	26.35	24.49	http://www.brother.ch	Brother P-touch Farbband TZ-251, TZ-Band, laminiert, schwarz auf weiss, 24 mm, Länge 8 m		TZ251	Brother	7.6	35	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052672	sofort	Nein	29.35
8233	PTZ TZ-252	Brother P-touch Farbband TZ-252, TZ-Band	laminiert,rot auf weiss, 24mm, 8m	1	0.09	27.05	25.14	http://www.brother.ch	Brother P-touch Farbband TZ-252, TZ-Band, laminiert, rot auf weiss, 24 mm, Länge 8 m		TZ252	Brother	7.6	34	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052764	sofort	Nein	30.1
8234	PTZ TZ-253	Brother P-touch Farbband TZ-253, TZ-Band	laminiert,blau auf weiss, 24mm, 8m	4	0.08	27.05	25.14	http://www.brother.ch	Brother P-touch Farbband TZ-253, TZ-Band, laminiert, blau auf weiss, 24 mm, Länge 8 m		TZ253	Brother	7.6	34	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052788	sofort	Nein	30.1
8235	PTZ TZ-261	Brother P-touch Farbband TZ-261, TZ-Band	laminiert,schwarz auf weiss, 36mm, 8m	4	0.12	34.05	31.64	http://www.brother.ch	Brother P-touch Farbband TZ-261, TZ-Band, laminiert, schwarz auf weiss, 36 mm, Länge 8 m		TZ261	Brother	7.6	42.2	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766054201	sofort	Nein	37.8
8238	PTZ TZ-315	Brother P-touch Farbband TZ-315, TZ-Band	laminiert,weiss auf schwarz, 6mm, 8m	7	0.05	19.5	18.12	http://www.brother.ch	Brother P-touch Farbband TZ-315, TZ-Band, laminiert, weiss auf schwarz, 6 mm, Länge 8 m		TZ315	Brother	7.6	25.65	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052399	sofort	Nein	21.75
8240	PTZ TZ-325	Brother P-touch Farbband TZ-325, TZ-Band	laminiert,weiss auf schwarz, 9mm, 8m	2	0.05	21.05	19.56	http://www.brother.ch	Brother P-touch Farbband TZ-325, TZ-Band, laminiert, weiss auf schwarz, 9 mm, Länge 8 m		TZ325	Brother	7.6	27.7	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052351	sofort	Nein	23.5
8241	PTZ TZ-334	Brother P-touch Farbband TZ-334, TZ-Band	laminiert,gold auf schwarz, 12mm, 8m	3	0.12	23.3	21.65	http://www.brother.ch	Brother P-touch Farbband TZ-334, TZ-Band, laminiert, gold auf schwarz, 12 mm, Länge 8 m		TZ334	Brother	7.6	30.8	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052184	sofort	Nein	25.9
8242	PTZ TZ-335	Brother P-touch Farbband TZ-335, TZ-Band	laminiert,weiss auf schwarz, 12mm, 8m	17	0.05	22.95	21.33	http://www.brother.ch	Brother P-touch Farbband TZ-335, TZ-Band, laminiert, weiss auf schwarz, 12 mm, Länge 8 m		TZ335	Brother	7.6	29.75	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052191	sofort	Nein	25.55
8243	PTZ TZ-345	Brother P-touch Farbband TZ-345, TZ-Band	laminiert,weiss auf schwarz, 18mm, 8m	1	0.07	22.5	20.91	http://www.brother.ch	Brother P-touch Farbband TZ-345, TZ Band, laminiert, weiss auf schwarz, 18 mm, Länge 8 m		TZ-345	Brother	7.6	0	12	05.11.10	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052030	sofort	Nein	26.1
8245	PTZ TZ-355	Brother P-touch Farbband TZ-355, TZ-Band	laminiert,weiss auf schwarz, 24mm, 8m	4	0.08	30.75	28.58	http://www.brother.ch	Brother P-touch Farbband TZ-355, TZ-Band, laminiert, weiss auf schwarz, 24 mm, Länge 8 m		TZ355	Brother	7.6	40.15	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052801	sofort	Nein	34.2
8246	PTZ TZ-421	Brother P-touch Farbband TZ-421, TZ-Band	laminiert,schwarz auf rot, 9mm, 8m	9	0.05	17.65	16.4	http://www.brother.ch	Brother P-touch Farbband TZ-421, TZ-Band, laminiert, schwarz auf rot, 9 mm, Länge 8 m		TZ421	Brother	7.6	22.45	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052269	sofort	Nein	18.9
8250	PTZ TZ-451	Brother P-touch Farbband TZ-451, TZ-Band	laminiert,schwarz auf rot, 24mm, 8m	2	0.09	27.05	25.14	http://www.brother.ch	Brother P-touch Farbband TZ-451, TZ-Band, laminiert, schwarz auf rot, 24 mm, Länge 8 m		TZ451	Brother	7.6	35	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052689	sofort	Nein	30.1
8253	PTZ TZ-521	Brother P-touch Farbband TZ-521, TZ-Band	laminiert,schwarz auf blau, 9mm, 8m	1	0.05	17.65	16.4	http://www.brother.ch	Brother P-touch Farbband TZ-521, TZ-Band, laminiert, schwarz auf blau, 9 mm, Länge 8 m		TZ521	Brother	7.6	22.45	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052276	sofort	Nein	18.9
8258	PTZ TZ-555	Brother P-touch Farbband TZ-555, TZ-Band	laminiert,weiss auf blau, 24mm, 8m	2	0.09	30.8	28.62	http://www.brother.ch	Brother P-touch Farbband TZ-555, TZ-Band, laminiert, weiss auf blau, 24 mm, Länge 8 m		TZ-555	Brother	7.6	39	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052825	sofort	Nein	33.7
8260	PTZ TZ-611	Brother P-touch Farbband TZ-611, TZ-Band	laminiert,schwarz auf gelb, 6mm, 8m	3	0.04	15.7	14.59	http://www.brother.ch	Brother P-touch Farbband TZ-611, TZ-Band, laminiert, schwarz auf gelb, 6 mm, Länge 8 m		TZ611	Brother	7.6	19.5	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052382	sofort	Nein	16.85
8261	PTZ TZ-621	Brother P-touch Farbband TZ-621, TZ-Band	laminiert,schwarz auf gelb, 9mm, 8m	-2	0.04	17.4	16.17	http://www.brother.ch	Brother P-touch Farbband TZ-621, TZ-Band, laminiert, schwarz auf gelb, 9 mm, Länge 8 m		TZ621	Brother	7.6	21.5	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052283	unbekannt	Nein	19.4
8262	PTZ TZ-631	Brother P-touch Farbband TZ-631, TZ-Band	laminiert,schwarz auf gelb, 12mm, 8m	17	0.12	19	17.66	http://www.brother.ch	Brother P-touch Farbband TZ-631, TZ-Band, laminiert, schwarz auf gelb, 12 mm, Länge 8 m		TZ631	Brother	7.6	24.6	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052092	sofort	Nein	21.2
8264	PTZ TZ-641	Brother P-touch Farbband TZ-641, TZ-Band	laminiert,schwarz auf gelb, 18mm, 8m	7	0.07	22.95	21.33	http://www.brother.ch	Brother P-touch Farbband TZ-641, TZ-Band, laminiert, schwarz auf gelb, 18 mm, Länge 8 m		TZ641	Brother	7.6	29.75	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766051989	sofort	Nein	25.55
8265	PTZ TZ-651	Brother P-touch Farbband TZ-651, TZ-Band	laminiert,schwarz auf gelb, 24mm, 8m	2	0.09	26.65	24.77	http://www.brother.ch	Brother P-touch Farbband TZ-651, TZ-Band, laminiert, schwarz auf gelb, 24 mm, Länge 8 m		TZ651	Brother	7.6	35	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052702	sofort	Nein	29.6
8268	PTZ TZ-661	Brother P-touch Farbband TZ-661, TZ-Band	laminiert,schwarz auf gelb, 36mm, 8m	2	0.12	34.55	32.11	http://www.brother.ch	Brother P-touch Farbband TZ-661, TZ-Band, laminiert, schwarz auf gelb, 36 mm, Länge 8 m		TZ661	Brother	7.6	43.15	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766054225	sofort	Nein	38.35
8281	PTZ TZ-B51	Brother P-touch Farbband TZ-B51, TZ-Band	fluoreszierend,schwarz auf orange,24mm,5m	-2	0.06	30.75	28.58	http://www.brother.ch	Brother P-touch Farbband TZ-B51, TZ-Band, fluoreszierend, schwarz auf orange, 24mm, 5m lang		TZB51	Brother	7.6	40.15	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052733	unbekannt	Nein	34.2
8282	PTZ TZ-C31	Brother P-touch Farbband TZ-C31, TZ-Band	fluoreszierend,schwarz auf gelb,12mm,5m	0	0.05	22.2	20.63	http://www.brother.ch	Brother P-touch Farbband TZ-C31, TZ-Band, fluoreszierend, schwarz auf gelb, 12 mm, 5m Länge		TZC31	Brother	7.6	28.75	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766052115	unbekannt	Nein	24.7
8288	PTZ TZ-CL4	Brother P-touch Reinigungsband TZ-CL4	TZ-Band, 18mm, ca. 100 Anwendungen	1	0.02	23.3	21.65	http://www.brother.ch	Brother P-touch Reinigungsband TZ-CL4, TZ-Band, 18mm, ca. 100 Anwendungen		TZCL4	Brother	7.6	30.8	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766057097	sofort	Nein	25.9
8299	PTZ TZ-FX211	Brother P-touch Farbband TZ-FX211,Flexitape	laminiert,schwarz auf weiss, 6mm, 8m	4	0.05	18.15	16.87	http://www.brother.ch	Brother P-touch Farbband TZ-FX211, TZ-Flexitape, laminiert, schwarz auf weiss, 6 mm, Länge 8 m		TZFX211	Brother	7.6	22.45	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766608626	sofort	Nein	20.25
8300	PTZ TZ-FX221	Brother P-touch Farbband TZ-FX221,Flexitape	laminiert,schwarz auf weiss, 9mm, 8m	8	0.05	19.85	18.45	http://www.brother.ch	Brother P-touch Farbband TZ-FX221, TZ-Flexitape, laminiert, schwarz auf weiss, 9 mm, Länge 8 m		TZFX221	Brother	7.6	25.65	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766608619	sofort	Nein	22.15
8301	PTZ TZ-FX231	Brother P-touch Farbband TZ-FX231,Flexitape	laminiert,schwarz auf weiss, 12mm, 8m	-1	0.06	21.7	20.17	http://www.brother.ch	Brother P-touch Farbband TZ-FX231, TZ-Flexitape, laminiert, schwarz auf weiss, 12 mm, Länge 8 m		TZFX231	Brother	7.6	28.75	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766608602	15.11.10	Nein	24.15
8303	PTZ TZ-FX251	Brother P-touch Farbband TZ-FX251,Flexitape	laminiert,schwarz auf weiss, 24mm, 8m	10	0.09	28.6	26.58	http://www.brother.ch	Brother P-touch Farbband TZ-FX251, TZ-Flexitape, laminiert, schwarz auf weiss, 24 mm, Länge 8 m		TZFX251	Brother	7.6	36	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766608589	sofort	Nein	31.8
8318	PTZ TZ-M931	Brother P-touch Farbband TZ-M931, TZ-Band	laminiert,schwarz auf si-met. matt,12mm,8m	2	0.05	23.3	21.65	http://www.brother.ch	Brother P-touch Farbband TZ-M931,TZ-Band, laminiert, schwarz auf silber metallic matt, 12mm,Länge 8m		TZM931	Brother	7.6	30.8	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766601399	sofort	Nein	25.9
8319	PTZ TZ-M951	Brother P-touch Farbband TZ-M951, TZ-Band	laminiert,schwarz auf si-met. matt,24mm,8m	5	0.08	30.75	28.58	http://www.brother.ch	Brother P-touch Farbband TZ-M951,TZ-Band, laminiert, schwarz auf silber metallic matt, 24mm,Länge 8m		TZM951	Brother	7.6	40.15	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766601412	sofort	Nein	34.2
8327	PTZ TZ-S211	Brother P-touch Farbband TZ-S211, TZ-Band	stark klebend,schwarz auf weiss, 6mm, 8m	9	0.05	18.15	16.87	http://www.brother.ch	Brother P-touch Farbband TZ-S211, TZ-Band, sehr stark klebend, schwarz auf weiss, 6 mm, Länge 8 m		TZS211	Brother	7.6	22.45	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766055895	sofort	Nein	20.25
8329	PTZ TZ-S221	Brother P-touch Farbband TZ-S221, TZ-Band	stark klebend,schwarz auf weiss, 9mm, 8m	18	0.05	19.6	18.22	http://www.brother.ch	Brother P-touch Farbband TZ-S221, TZ-Band, sehr stark klebend, schwarz auf weiss, 9 mm, Länge 8 m		TZS221	Brother	7.6	25.65	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766055901	sofort	Nein	21.85
8331	PTZ TZ-S231	Brother P-touch Farbband TZ-S231, TZ-Band	stark klebend,schwarz auf weiss, 12mm, 8m	19	0.06	21.35	19.84	http://www.brother.ch	Brother P-touch Farbband TZ-S231, TZ-Band, sehr stark klebend, schwarz auf weiss, 12 mm, Länge 8 m		TZS231	Brother	7.6	27.7	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766055918	sofort	Nein	23.8
8333	PTZ TZ-S241	Brother P-touch Farbband TZ-S241, TZ-Band	stark klebend,schwarz auf weiss, 18mm, 8m	9	0.07	25.15	23.37	http://www.brother.ch	Brother P-touch Farbband TZ-S241, TZ-Band, sehr stark klebend, schwarz auf weiss, 18 mm, Länge 8 m		TZS241	Brother	7.6	32	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766055925	sofort	Nein	27.95
8334	PTZ TZ-S251	Brother P-touch Farbband TZ-S251, TZ-Band	stark klebend,schwarz auf weiss, 24mm, 8m	9	0.09	28.6	26.58	http://www.brother.ch	Brother P-touch Farbband TZ-S251, TZ-Band, sehr stark klebend, schwarz auf weiss, 24 mm, Länge 8 m		TZS251	Brother	7.6	36	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766055932	sofort	Nein	31.8
8335	PTZ TZ-S261	Brother P-touch Farbband TZ-S261, TZ-Band	stark klebend,schwarz auf weiss, 36mm, 8m	4	0.12	36.55	33.97	http://www.brother.ch	Brother P-touch Farbband TZ-S261, TZ-Band, sehr stark klebend, schwarz auf weiss, 36 mm, Länge 8 m		TZS261	Brother	7.6	47.4	12	03.11.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766603843	sofort	Nein	40.6
8341	PTZ TZ-S641	Brother P-touch Farbband TZ-S641, TZ-Band	stark klebend,schwarz auf gelb, 18mm, 8m	6	0.07	25.15	23.37	http://www.brother.ch	Brother P-touch Farbband TZ-S641, TZ-Band, sehr stark klebend, schwarz auf gelb, 18 mm, Länge 8 m		TZS641	Brother	7.6	32	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766601368	sofort	Nein	27.95
8342	PTZ TZ-S651	Brother P-touch Farbband TZ-S651, TZ-Band	stark klebend,schwarz auf gelb, 24mm, 8m	5	0.09	28.6	26.58	http://www.brother.ch	Brother P-touch Farbband TZ-S651, TZ-Band, sehr stark klebend, schwarz auf gelb, 24 mm, Länge 8 m		TZS651	Brother	7.6	36	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766601375	sofort	Nein	31.8
8355	PT 3600	Brother P-touch PT-3600, Beschriftungsgerät	Display: 3Zeile / 20Zeichen, USB-Anschluss	2	4.12	386	358.74	http://www.brother.ch/products/welcome.cfm?prod_art=PT-3600	Brother P-touch PT-3600,Beschriftungsgerät, Display: 3 Zeilen/20 Zeichen, USB-Anschluss	inkl. Software, inkl. Netzadapter, Masse BxTxH 237x302x104	PT-3600	Brother	7.6	459	12	29.09.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Etiketten-/Belegdrucker	Büro und Bürozubehör	4977766605830	sofort	Nein	404
8392	MBZ AS USB + GAME	ASUS USB und Gameport Panel zum Nachrüsten	Rückseitige Blende mit 2 USB Ports	92	0.08	9.65	8.97	http://www.asus.com/products1.aspx?l1=3&l2=0&l3=0&model=0&modelmenu=0&share=txt/13	ASUS 2xUSB und 1xGameport Slotblende zum Nachrüsten	Rückseitige Blende mit 2 USB Ports	14G000012223	ASUS	7.6	17.4	12	27.04.07	PCs und Komponenten	Mainboard	Zubehör	Kabel, Adapter, Zubehör		sofort	Nein	13.35
8405	ZTOFL OKI 9000DR SW	Bildtrommel schwarz zu OKI C9300/C9500	Lebensdauer ca. 30'000 Seiten	2	2.3	202.9	188.57	http://switzerland.oki.com/fcgi-bin/public.fcgi?pid=44&cid=136&chid=1&prid=403	OKI Bildtrommel 41963408 schwarz, zu C9300/C9500	Lebensdauer ca. 30'000 Seiten	41963408	OKI	7.6	269	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner	5031713923640	sofort	Nein	220.85
8406	ZTOFL OKI 9000DR CY	Bildtrommel cyan zu OKI C9300/C9500	Lebensdauer ca. 30'000 Seiten	2	2.39	250.3	232.62	http://switzerland.oki.com/fcgi-bin/public.fcgi?pid=44&cid=136&chid=1&prid=403	OKI Bildtrommel 41963407 cyan, zu C9300/C9500	Lebensdauer ca. 30'000 Seiten	41963407	OKI	7.6	329	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner	5031713923633	sofort	Nein	272.05
8407	ZTOFL OKI 9000DR MA	Bildtrommel magenta zu OKI C9300/C9500	Lebensdauer ca. 30'000 Seiten	1	2.4	250.3	232.62	http://switzerland.oki.com/fcgi-bin/public.fcgi?pid=44&cid=136&chid=1&prid=403	OKI Bildtrommel 41963406 magenta, zu C9300/C9500	Lebensdauer ca. 30'000 Seiten	41963406	OKI	7.6	329	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner	5031713923626	sofort	Nein	272.05
8408	ZTOFL OKI 9000DR YE	Bildtrommel yellow zu OKI C9300/C9500	Lebensdauer ca. 30'000 Seiten	2	2.4	250.3	232.62	http://switzerland.oki.com/fcgi-bin/public.fcgi?pid=44&cid=136&chid=1&prid=403	OKI Bidltrommel 41963405 gelb, zu C9300/C9500	Lebensdauer ca. 30'000 Seiten	41963405	OKI	7.6	329	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner	5031713923619	sofort	Nein	272.05
8429	PA FO BG-32.5 PLUS	Projektionsfolie, BG-32.5 PLUS	Folex, A4, 0.1 mm, 50 Blatt	9	0.59	44.05	40.94	http://www.folex.ch/prod.php?id=32&catp=7&cat=100011	Folex, Projektionsfolie, BG-32.5 PLUS, A4, 0.1 mm, 50 Blatt	Eine speziell beschichtete Ink Jet Universalfolie zur Erstellung von professionellen Präsentationsfolien.	29305.100.44100	Folex	7.6	68	12	06.11.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Papier/Folien/Etiketten	Papier/Folien	7610689041152	sofort	Nein	55.5
8463	VI HA WINTV PVR-USB2	Hauppauge WinTV PVR-USB2, 00960	TV-Adapter USB2.0, analog, MCE	5	1.01	186.05	172.91	http://www.hauppauge.de/pages/products/data_pvrusb2.html	Hauppauge WinTV PVR-USB2, USB2.0/USB1.1, analog, stereo, MPEG2, FM-Radio, Fernbedienung	MCE Edition, TimeShifting, S-Video-/Composite Video-In, Retail, Vista Treiber	00960	Hauppauge	7.6	239	24	23.10.06	Unterhaltungselektronik	TV-Receiver/Empfangstechnik	TV-Karten	TV Karten/ Sat Zubehör		sofort	Nein	202.65
8488	PA FO INSTANT DRY 18	Fotopapier Hochglanz, Instant Dry	Folex, A4, 180g/m2, 50 Blatt	9	0.65	19.75	18.36	http://www.folex.ch/prod.php?id=124&catp=7&cat=10008	Folex Fotopapier Hochglanz, Instant Dry, A4, 180g/m2, 50 Blatt	Fotorealistisches Ink Jet Papier mit einer glänzend-glatten Oberfläche und guter Planlage für brillante und farbgetreue Wiedergabe von Fotos, Bildern und Grafiken.	23400.180.44100	Folex	7.6	34	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Papier/Folien/Etiketten	Papier/Folien	7610689078172	sofort	Nein	26.1
8504	PA FO TOP CO 120_200	Ink-Jet-Papier, Top Color 120, matt-weiss	Folex, A4, 120g/m2, 200 Blatt	5	1.72	32.5	30.2	http://www.folex.ch/prod.php?id=116&catp=7&cat=100056	Folex, Ink-Jet-Papier, Top Color 120 matt-weiss, A4, 120g/m2, 200 Blatt	Das hochauflösende, matt gestrichene Ink Jet Papier ergibt lebendige, echte Farben für Präsentationen und jegliche Form von farbigen Ausdrucken wie z.B. Grafiken und Berichte.	23100.120.44100	Folex	7.6	52.55	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Papier/Folien/Etiketten	Papier/Folien	7610689030170	sofort	Nein	41.6
8515	PA FO STICKY CL_10	Selbstklebende Folie, Sticky transparent	Folex, A4, 0.05 mm, 10 Blatt	1	0.18	25.95	24.12	http://www.folex.ch/prod.php?id=133&catp=7&cat=10009	Folex, Selbstklebende Folie, Sticky transparent, A4, 0.05 mm, 10 Blatt	Ein spezialbeschichteter Film rückseitig mit Dauerkleber, der auf den meisten sauberen Oberflächen klebt. Zur Erstellung Ihrer eigenen Aufkleber, Etiketten, Hinweisschilder und Beschriftungen.	2939C.050.51000	Folex	7.6	43.25	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Papier/Folien/Etiketten	Papier/Folien	7610689042852	sofort	Nein	33.75
8516	PA FO STICKY WO_10	Selbstklebende Folie, Sticky weiss opak	Folex, A4, 0.05 mm, 10 Blatt	4	0.18	25.95	24.12	http://www.folex.ch/htm/302/de/Homepage.htm	Folex, Selbstklebende Folie, Sticky weiss glänzend , opak, A4, 0.05 mm, 10 Blatt		2939W.050.51000	Folex	7.6	43.25	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Papier/Folien/Etiketten	Papier/Folien	7610689042890	sofort	Nein	33.75
8528	PA FO CD LABEL ST_30	CD-Etiketten, Label Jet Standard	Folex, A4, 70g/m2, 30 Blatt	12	0.34	15.5	14.41	http://www.folex.ch/prod.php?catp=3&cat=100021&id=107&sid=e901b267f967b5295e04d117ff5f592a	Folex, CD-Etiketten, Label Jet Standard, A4, 70g/m2, 30 Blatt	Ein spezialbeschichtetes Papier zum Personalisieren Ihrer CD-Etiketten. Sie drucken einfach Bilder und Text auf das vorgefertigte Papier.	23323.070.53000	Folex	7.6	27.7	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Papier/Folien/Etiketten	Papier/Folien	7610689085088	sofort	Nein	20.9
8530	PA FO CD CASE_20	CD-Einleger, Case Jet	Folex, A4, 180g/m2, 20 Blatt	5	0.19	21.95	20.4	http://www.folex.ch/prod.php?id=108&catp=7&cat=100085	Folex, CD-Einleger, Case Jet, A4, 180g/m2, 20 Blatt	Ein spezialbeschichtetes Photopapier ermöglicht Ihnen, persönliche Einlagen für Ihre CD-Hüllen herzustellen.	23467.180.52000	Folex	7.6	37.1	12	06.11.06	PCs und Komponenten	Drives und Medien	CD-Medien	Papier/Folien	7610689083695	sofort	Nein	28.8
8546	SW LO KVM-0410 4P PS2 19	LevelOne KVM-0410: 4Port 19" KVM-Switch	PS/2, VGA, 1920x1440, Passwort, OSD	1	3.57	156.15	145.12	http://www.level-one.de/levelone.php?page=prod&cat=7029&model=KVM-0410	LevelOne KVM-0410: 4Port 19" KVM-Switch, PS/2, VGA, 1920x1440, Passwort, OSD, kaskadierbar	ohne Kabelsets. Kabelsets in verschiedenen Längen separat erhältlich.	590410	LevelOne	7.6	199	24	16.09.06	PC-Peripherie (Zubehör)	Switchboxen/Umschalter	KVM Switch local	Switchboxen	4015867105825	sofort	Nein	168.4
